"Overall.rank","Country.or.region","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","co2","cumulative_co2","population","co2.per.capita"
99,"Cameroon",4.975,0.535,0.891,0.182,0.454,0.183,0.043,8.137,195.872,25216000,3.22691941624365e-07
100,"Bulgaria",4.933,1.054,1.515,0.712,0.359,0.064,0.009,44.511,3746.399,7052000,6.31182643221781e-06
101,"Nepal",4.88,0.425,1.228,0.539,0.526,0.302,0.078,9.448,124.682,28096000,3.3627562642369e-07
102,"Venezuela",4.806,0.996,1.469,0.657,0.133,0.056,0.052,138.765,7688.412,28887000,4.80371793540347e-06
103,"Gabon",4.758,1.036,1.164,0.404,0.356,0.032,0.052,5.358,250.681,2119000,2.52855120339783e-06
105,"South Africa",4.724,0.94,1.41,0.33,0.516,0.103,0.056,467.562,20271.067,57793000,8.09028775111173e-06
106,"Iran",4.707,1.059,0.771,0.691,0.459,0.282,0.129,720.414,17342.748,81800000,8.80701711491443e-06
108,"Ghana",4.657,0.592,0.896,0.337,0.499,0.212,0.029,18.298,343.583,29767000,6.14707562065374e-07
109,"Senegal",4.631,0.429,1.117,0.433,0.406,0.138,0.082,11.711,222.01,15854000,7.38677936167529e-07
110,"Laos",4.623,0.72,1.034,0.441,0.626,0.23,0.174,19.32,111.465,7061000,2.73615635179153e-06
111,"Tunisia",4.592,0.9,0.906,0.69,0.271,0.04,0.063,31.577,846.863,11565000,2.7303934284479e-06
112,"Albania",4.586,0.916,0.817,0.79,0.419,0.149,0.032,4.57,276.682,2883000,1.58515435310441e-06
113,"Sierra Leone",4.571,0.256,0.813,0,0.355,0.238,0.053,1.078,36.22,7650000,1.40915032679739e-07
115,"Bangladesh",4.5,0.532,0.85,0.579,0.58,0.153,0.144,85.693,1362.032,161376992,5.31011260886558e-07
116,"Sri Lanka",4.471,0.918,1.314,0.672,0.585,0.307,0.05,23.368,460.166,21229000,1.10075839653304e-06
117,"Iraq",4.456,1.01,0.971,0.536,0.304,0.148,0.095,204.175,4187.792,38434000,5.31235364520997e-06
118,"Mali",4.447,0.37,1.233,0.152,0.367,0.139,0.056,3.56,50.247,19078000,1.86602369221092e-07
119,"Namibia",4.441,0.874,1.281,0.365,0.519,0.051,0.064,4.272,68.575,2448000,1.74509803921569e-06
120,"Cambodia",4.433,0.549,1.088,0.457,0.696,0.256,0.065,10.396,121.563,16250000,6.39753846153846e-07
121,"Burkina Faso",4.424,0.314,1.097,0.254,0.312,0.175,0.128,3.899,55.434,19751000,1.97407726191079e-07
122,"Egypt",4.419,0.885,1.025,0.553,0.312,0.092,0.107,238.816,5880.283,98424000,2.42640006502479e-06
123,"Mozambique",4.417,0.198,0.902,0.173,0.531,0.206,0.158,8.286,164.66,29496000,2.80919446704638e-07
124,"Kenya",4.41,0.493,1.048,0.454,0.504,0.352,0.055,18.486,434.648,51393000,3.59698791664234e-07
125,"Zambia",4.377,0.562,1.047,0.295,0.503,0.221,0.082,5.228,193.126,17352000,3.0129091747349e-07
126,"Mauritania",4.356,0.557,1.245,0.292,0.129,0.134,0.093,2.661,65.844,4403000,6.04360663184193e-07
127,"Ethiopia",4.35,0.308,0.95,0.391,0.452,0.22,0.146,14.935,224.913,109224000,1.36737347103201e-07
128,"Georgia",4.34,0.853,0.592,0.643,0.375,0.038,0.215,10.56,882.918,4003000,2.63802148388708e-06
129,"Armenia",4.321,0.816,0.99,0.666,0.26,0.077,0.028,5.571,580.681,2952000,1.88719512195122e-06
130,"Myanmar",4.308,0.682,1.174,0.429,0.58,0.598,0.178,26.335,533.025,53708000,4.90336635138154e-07
131,"Chad",4.301,0.358,0.907,0.053,0.189,0.181,0.06,1.014,24.595,15478000,6.55123400956196e-08
133,"India",4.19,0.721,0.747,0.485,0.539,0.172,0.093,2654.101,51196.388,1352642048,1.96216064991054e-06
134,"Niger",4.166,0.131,0.867,0.221,0.39,0.175,0.099,2.319,43.559,22443000,1.03328432027804e-07
135,"Uganda",4.161,0.322,1.09,0.237,0.45,0.259,0.061,5.771,99.504,42729000,1.35060497554354e-07
136,"Benin",4.141,0.378,0.372,0.24,0.44,0.163,0.067,7.149,101.763,11485000,6.22464083587288e-07
137,"Sudan",4.139,0.605,1.24,0.312,0.016,0.134,0.082,21.046,401.317,41802000,5.03468733553419e-07
138,"Ukraine",4.103,0.793,1.413,0.609,0.163,0.187,0.011,225.018,25895.962,44246000,5.08561225873525e-06
139,"Togo",3.999,0.259,0.474,0.253,0.434,0.158,0.101,3.418,66.562,7889000,4.33261503359108e-07
140,"Guinea",3.964,0.344,0.792,0.211,0.394,0.185,0.094,3.179,78.439,12414000,2.56081843080393e-07
141,"Lesotho",3.808,0.472,1.215,0.079,0.423,0.116,0.112,2.659,58.895,2108000,1.26138519924099e-06
142,"Angola",3.795,0.73,1.125,0.269,0,0.079,0.061,34.537,666.448,30810000,1.12096721843557e-06
143,"Madagascar",3.774,0.262,0.908,0.402,0.221,0.155,0.049,4.281,90.497,26262000,1.63011194882339e-07
144,"Zimbabwe",3.692,0.357,1.094,0.248,0.406,0.132,0.099,12.263,718.364,14439000,8.49297042731491e-07
145,"Afghanistan",3.632,0.332,0.537,0.255,0.085,0.191,0.036,9.439,176.888,37172000,2.53927687506725e-07
146,"Botswana",3.59,1.017,1.174,0.417,0.557,0.042,0.092,6.666,135.914,2254000,2.95740905057675e-06
147,"Malawi",3.587,0.186,0.541,0.306,0.531,0.21,0.08,1.381,44.287,18143000,7.61175108857411e-08
148,"Haiti",3.582,0.315,0.714,0.289,0.025,0.392,0.104,2.999,71.453,11123000,2.69621504989661e-07
149,"Liberia",3.495,0.076,0.858,0.267,0.419,0.206,0.03,1.558,51.161,4819000,3.23303589956423e-07
150,"Syria",3.462,0.689,0.382,0.539,0.088,0.376,0.144,28.277,1796.293,16945000,1.66875184420183e-06
151,"Rwanda",3.408,0.332,0.896,0.4,0.636,0.2,0.444,1.122,26.58,12302000,9.12046821655016e-08
152,"Yemen",3.355,0.442,1.073,0.343,0.244,0.083,0.064,10.141,604.86,28499000,3.55837046913927e-07
153,"Tanzania",3.303,0.455,0.991,0.381,0.481,0.27,0.097,12.499,222.052,56313000,2.2195585388809e-07
154,"South Sudan",3.254,0.337,0.608,0.177,0.112,0.224,0.106,1.87,36.157,10976000,1.70371720116618e-07
155,"Central African Republic",3.083,0.024,0,0.01,0.305,0.218,0.038,0.304,11.691,4666000,6.51521645949421e-08
156,"Burundi",2.905,0.091,0.627,0.145,0.065,0.149,0.076,0.522,11.57,11175000,4.67114093959732e-08
